#   gal ID      M*           (g-r)       SFR
   64044    1.0268e+08     0.6794    1.0000e-05
   64046    4.0178e+08     0.7260    1.0000e-05
   64047    5.1262e+07     0.6473    1.0000e-05
   64051    3.2878e+07     0.2484    8.3146e-03
   64054    3.3960e+07     0.6727    1.0000e-05
   64057    1.2363e+08     0.6969    1.0000e-05
   64058    3.9691e+08     0.7417    1.0000e-05
   64059    4.5306e+07     0.6652    1.0000e-05
   64060    4.3199e+07     0.6773    1.0000e-05
   64062    1.2873e+08     0.6951    1.0000e-05
   64064    3.5020e+07     0.6494    1.0000e-05
   64066    2.0886e+08     0.7078    1.0000e-05
   64067    2.2891e+08     0.6944    1.0000e-05
   64068    2.0394e+08     0.6992    1.0000e-05
   64069    2.7412e+07     0.6036    1.0000e-05
   64070    4.0485e+07     0.6285    1.0000e-05
   64074    6.2432e+07     0.6472    1.0000e-05
   64075    9.1329e+07     0.6790    1.0000e-05
   64078    5.6115e+07     0.6681    1.0000e-05
   64079    5.9955e+07     0.6689    1.0000e-05
   64080    1.5306e+08     0.6568    1.0000e-05
   64081    4.9898e+08     0.7731    1.0000e-05
   64085    5.0310e+07     0.6560    1.0000e-05
   64087    3.1226e+07     0.6161    1.0000e-05
   64088    6.8759e+07     0.6578    1.0000e-05
   64089    3.9013e+07     0.5778    1.0000e-05
   64090    1.1484e+08     0.6888    1.0000e-05
   64091    3.6641e+07     0.6450    1.0000e-05
   64094    7.3919e+07     0.6826    1.0000e-05
   64098    1.6815e+08     0.6749    1.0000e-05
   64099    9.6675e+07     0.6788    1.0000e-05
   64102    4.4139e+07     0.6486    1.0000e-05
   64104    6.9307e+07     0.6612    1.0000e-05
   64108    7.6450e+07     0.6619    1.0000e-05
   64109    6.3004e+07     0.6816    1.0000e-05
   64113    8.9430e+07     0.6585    1.0000e-05
   64116    4.9491e+07     0.6695    1.0000e-05
   64117    5.9455e+07     0.6599    1.0000e-05
   64118    2.7632e+08     0.7545    1.0000e-05
   64123    2.7682e+07     0.6166    1.0000e-05
   64124    2.5566e+07     0.5688    1.0000e-05
   64126    2.6579e+07     0.6539    1.0000e-05
   64129    3.4749e+08     0.7838    1.0000e-05
   64130    6.8309e+07     0.6861    1.0000e-05
   64131    1.3933e+08     0.7051    1.0000e-05
   64134    1.0502e+08     0.6695    1.0000e-05
   64137    7.2230e+07     0.6832    1.0000e-05
   64139    2.9038e+08     0.7562    1.0000e-05
   64140    4.5019e+07     0.6567    1.0000e-05
